,Invasive Area,Infiltrative Area,Single Defects,Fingers,Clusters
Contact Energy,0.2906888892108163,0.5564241032039918,0.6786606062556829,0.29794662472689515,0.33565699395413645
Migration Coefficient,0.7184870596647821,0.6818154873438615,0.4879551893140138,0.7860396009576932,0.5869736554908179
Proliferative Probability,0.024682431148639314,0.0247388275344042,0.013690265677164382,0.010429455989178198,0.014478230154586458
