,Invasive Area,Infiltrative Area,Single Defects,Fingers,Clusters
Contact Energy,0.21567985392173938,0.49558975530986155,0.7132437903109206,0.22566610611140905,0.34270608573396144
Migration Coefficient,0.796933794113535,0.7988405492953351,0.5749677341812102,0.8053117375322159,0.6410836578487918
Proliferative Probability,-0.016496087687287612,-0.020616619055826665,-0.0031854597364837146,-0.0014377342334348,0.0083793936897106
