Parameter,Linear Regression (avg |coeff|),Random Forest Importance
Migration Coefficient,3182.453106512822,0.5033200506599413
Contact Energy,2127.161709205315,0.4918172374747183
Proliferative Probability,113.80385939412467,0.004862711865340334
