,Invasive Area,Infiltrative Area,Single Defects,Fingers,Clusters
Contact Energy,0.26774040735025384,0.34608397873523744,0.5809686921418686,0.16782240379122992,0.1423889880901026
Migration Coefficient,0.5927180034863615,0.6545319382060599,0.4420350591242359,0.5792001940804026,0.305050618817039
Proliferative Probability,0.005497387320067215,0.0036513151760653173,0.0,0.0018408971613093073,0.00955891880925197
