Parameter,Chi2,p_value,DoF,CramersV
Contact Energy,5350.198513653632,0.0,27,0.36669368936818947
Migration Coefficient,8727.150859913176,0.0,27,0.4683329666725382
Proliferative Probability,6.622523912280618,0.999978684320047,27,0.012901204380788268
