Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters,MCS
-5.0,0.0,0.0,1273.0,1273.0,0,0,0,0,100
-5.0,0.0,0.0,1274.0,1274.0,0,0,0,0,100
-5.0,0.0,0.0,1331.0,1331.0,0,0,0,0,100
-5.0,0.0,0.0,834.0,834.0,0,0,0,0,100
-5.0,0.0,0.0,1401.0,1401.0,0,0,0,0,100
-5.0,0.0,0.0,1196.0,1196.0,0,0,0,0,100
-5.0,0.0,0.0,1389.0,1389.0,0,0,0,0,100
-5.0,0.0,0.0,1801.0,1801.0,0,0,0,0,100
-5.0,0.0,0.0,1285.5,1285.5,0,0,0,0,100
-5.0,0.0,0.0,1400.0,1400.0,0,0,0,0,100
-5.0,0.0,0.0,1788.0,1788.0,0,0,0,0,100
-5.0,0.0,0.0,1295.0,1295.0,0,0,0,0,100
-5.0,0.0,0.1,1275.0,1275.0,0,0,0,0,100
-5.0,0.0,0.1,1367.0,1367.0,0,0,0,0,100
-5.0,0.0,0.1,1822.5,1822.5,0,0,0,0,100
-5.0,0.0,0.1,1375.5,1375.5,0,0,0,0,100
-5.0,0.0,0.1,1778.0,1778.0,0,0,0,0,100
-5.0,0.0,0.1,1381.0,1381.0,0,0,0,0,100
-5.0,0.0,0.1,1366.5,1366.5,0,0,0,0,100
-5.0,0.0,0.1,1405.5,1405.5,0,0,0,0,100
-5.0,0.0,0.1,1306.0,1306.0,0,0,0,0,100
-5.0,0.0,0.1,1409.0,1409.0,0,0,0,0,100
-5.0,0.0,0.1,1254.5,1254.5,0,0,0,0,100
-5.0,0.0,0.1,1728.0,1728.0,0,0,0,0,100
-5.0,0.0,0.2,1318.0,1318.0,0,0,0,0,100
-5.0,0.0,0.2,1319.0,1319.0,0,0,0,0,100
-5.0,0.0,0.2,1311.0,1311.0,0,0,0,0,100
-5.0,0.0,0.2,1173.0,1173.0,0,0,0,0,100
-5.0,0.0,0.2,1815.0,1815.0,0,0,0,0,100
-5.0,0.0,0.2,1745.5,1745.5,0,0,0,0,100
