Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters,MCS
-5.0,0.0,0.0,1972.5,1972.5,0,0,0,0,200
-5.0,0.0,0.0,2046.0,2046.0,0,0,0,0,200
-5.0,0.0,0.0,2036.5,2036.5,0,0,0,0,200
-5.0,0.0,0.0,1942.5,1942.5,0,0,0,0,200
-5.0,0.0,0.0,2013.0,2013.0,0,0,0,0,200
-5.0,0.0,0.0,1876.0,1876.0,0,0,0,0,200
-5.0,0.0,0.0,2033.5,2033.5,0,0,0,0,200
-5.0,0.0,0.0,2385.0,2385.0,0,0,0,0,200
-5.0,0.0,0.0,1471.0,1471.0,0,0,0,0,200
-5.0,0.0,0.0,1532.0,1532.0,0,0,0,0,200
-5.0,0.0,0.0,1946.0,1946.0,0,0,0,0,200
-5.0,0.0,0.0,1908.0,1908.0,0,0,0,0,200
-5.0,0.0,0.1,1986.0,1986.0,0,0,0,0,200
-5.0,0.0,0.1,2096.0,2096.0,0,0,0,0,200
-5.0,0.0,0.1,1930.0,1930.0,0,0,0,0,200
-5.0,0.0,0.1,2590.0,2590.0,0,0,0,0,200
-5.0,0.0,0.1,2413.0,2413.0,0,0,0,0,200
-5.0,0.0,0.1,2064.0,2064.0,0,0,0,0,200
-5.0,0.0,0.1,1509.0,1509.0,0,0,0,0,200
-5.0,0.0,0.1,2386.0,2386.0,0,0,0,0,200
-5.0,0.0,0.1,1940.5,1940.5,0,0,0,0,200
-5.0,0.0,0.1,2083.5,2083.5,0,0,0,0,200
-5.0,0.0,0.1,2545.0,2545.0,0,0,0,0,200
-5.0,0.0,0.1,1955.0,1955.0,0,0,0,0,200
-5.0,0.0,0.2,1933.0,1933.0,0,0,0,0,200
-5.0,0.0,0.2,1518.0,1518.0,0,0,0,0,200
-5.0,0.0,0.2,1996.0,1996.0,0,0,0,0,200
-5.0,0.0,0.2,1430.5,1430.5,0,0,0,0,200
-5.0,0.0,0.2,1621.5,1621.5,0,0,0,0,200
-5.0,0.0,0.2,1864.0,1864.0,0,0,0,0,200
-5.0,0.0,0.2,1982.0,1982.0,0,0,0,0,200
-5.0,0.0,0.2,1986.0,1986.0,0,0,0,0,200
-5.0,0.0,0.2,1471.0,1471.0,0,0,0,0,200
-5.0,0.0,0.2,1584.0,1584.0,0,0,0,0,200
-5.0,0.0,0.2,2007.0,2007.0,0,0,0,0,200
-5.0,0.0,0.2,1504.5,1504.5,0,0,0,0,200
-5.0,0.0,0.3,1679.5,1679.5,0,0,0,0,200
-5.0,0.0,0.3,1516.0,1516.0,0,0,0,0,200
-5.0,0.0,0.3,1963.0,1963.0,0,0,0,0,200
-5.0,0.0,0.3,2343.0,2343.0,0,0,0,0,200
-5.0,0.0,0.3,1378.0,1378.0,0,0,0,0,200
-5.0,0.0,0.3,2002.5,2002.5,0,0,0,0,200
-5.0,0.0,0.3,1899.5,1899.5,0,0,0,0,200
-5.0,0.0,0.3,1832.5,1832.5,0,0,0,0,200
-5.0,0.0,0.3,1557.0,1557.0,0,0,0,0,200
-5.0,0.0,0.3,1895.0,1895.0,0,0,0,0,200
-5.0,0.0,0.3,1929.5,1929.5,0,0,0,0,200
-5.0,0.0,0.3,1657.5,1657.5,0,0,0,0,200
-5.0,0.0,0.4,2010.0,2010.0,0,0,0,0,200
-5.0,0.0,0.4,1948.5,1948.5,0,0,0,0,200
-5.0,0.0,0.4,1943.0,1943.0,0,0,0,0,200
-5.0,0.0,0.4,1995.0,1995.0,0,0,0,0,200
-5.0,0.0,0.4,1953.0,1953.0,0,0,0,0,200
-5.0,0.0,0.4,1475.0,1475.0,0,0,0,0,200
-5.0,0.0,0.4,1913.5,1913.5,0,0,0,0,200
-5.0,0.0,0.4,1442.5,1442.5,0,0,0,0,200
-5.0,0.0,0.4,2063.0,2063.0,0,0,0,0,200
-5.0,0.0,0.4,1434.0,1434.0,0,0,0,0,200
-5.0,0.0,0.4,1462.0,1462.0,0,0,0,0,200
-5.0,0.0,0.4,1976.5,1976.5,0,0,0,0,200
-5.0,0.0,0.5,1426.0,1426.0,0,0,0,0,200
-5.0,0.0,0.5,1536.0,1536.0,0,0,0,0,200
-5.0,0.0,0.5,1935.5,1935.5,0,0,0,0,200
-5.0,0.0,0.5,1536.0,1536.0,0,0,0,0,200
-5.0,0.0,0.5,1963.5,1963.5,0,0,0,0,200
-5.0,0.0,0.5,1554.0,1554.0,0,0,0,0,200
-5.0,0.0,0.5,1702.0,1702.0,0,0,0,0,200
-5.0,0.0,0.5,1430.0,1430.0,0,0,0,0,200
-5.0,0.0,0.5,1923.0,1923.0,0,0,0,0,200
-5.0,0.0,0.5,1917.5,1917.5,0,0,0,0,200
-5.0,0.0,0.5,1910.0,1910.0,0,0,0,0,200
-5.0,0.0,0.5,1927.5,1927.5,0,0,0,0,200
-5.0,0.0,0.6,1969.0,1969.0,0,0,0,0,200
-5.0,0.0,0.6,2026.0,2026.0,0,0,0,0,200
-5.0,0.0,0.6,1894.0,1894.0,0,0,0,0,200
-5.0,0.0,0.6,1924.0,1924.0,0,0,0,0,200
-5.0,0.0,0.6,2007.5,2007.5,0,0,0,0,200
-5.0,0.0,0.6,1991.5,1991.5,0,0,0,0,200
-5.0,0.0,0.6,1005.0,1005.0,0,0,0,0,200
-5.0,0.0,0.6,1462.0,1462.0,0,0,0,0,200
-5.0,0.0,0.6,1915.0,1915.0,0,0,0,0,200
-5.0,0.0,0.6,1800.0,1800.0,0,0,0,0,200
-5.0,0.0,0.6,1552.0,1552.0,0,0,0,0,200
-5.0,0.0,0.6,1847.0,1847.0,0,0,0,0,200
-5.0,0.0,0.7,1923.0,1923.0,0,0,0,0,200
-5.0,0.0,0.7,1980.5,1980.5,0,0,0,0,200
-5.0,0.0,0.7,1988.0,1988.0,0,0,0,0,200
-5.0,0.0,0.7,1984.5,1984.5,0,0,0,0,200
-5.0,0.0,0.7,2477.5,2477.5,0,0,0,0,200
