MCS,Adhesion Energy,Migration Coefficient,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters
0,-5.0,0.0,0.0,503.0,503.0,0,0,0,0
0,-5.0,0.0,0.0,488.0,488.0,0,0,0,0
0,-5.0,0.0,0.0,500.0,500.0,0,0,0,0
0,-5.0,0.0,0.0,504.0,504.0,0,0,0,0
0,-5.0,0.0,0.0,495.0,495.0,0,0,0,0
0,-5.0,0.0,0.0,489.0,489.0,0,0,0,0
0,-5.0,0.0,0.0,497.0,497.0,0,0,0,0
0,-5.0,0.0,0.0,498.0,498.0,0,0,0,0
0,-5.0,0.0,0.0,506.0,506.0,0,0,0,0
0,-5.0,0.0,0.0,501.0,501.0,0,0,0,0
0,-5.0,0.0,0.1,495.0,495.0,0,0,0,0
0,-5.0,0.0,0.1,497.0,497.0,0,0,0,0
0,-5.0,0.0,0.1,494.0,494.0,0,0,0,0
0,-5.0,0.0,0.1,500.0,500.0,0,0,0,0
0,-5.0,0.0,0.1,503.0,503.0,0,0,0,0
0,-5.0,0.0,0.1,501.5,501.5,0,0,0,0
0,-5.0,0.0,0.1,495.0,495.0,0,0,0,0
0,-5.0,0.0,0.1,503.0,503.0,0,0,0,0
0,-5.0,0.0,0.1,491.0,491.0,0,0,0,0
0,-5.0,0.0,0.1,496.0,496.0,0,0,0,0
0,-5.0,0.0,0.2,498.0,498.0,0,0,0,0
0,-5.0,0.0,0.2,493.0,493.0,0,0,0,0
0,-5.0,0.0,0.2,502.0,502.0,0,0,0,0
0,-5.0,0.0,0.2,508.0,508.0,0,0,0,0
0,-5.0,0.0,0.2,492.0,492.0,0,0,0,0
0,-5.0,0.0,0.2,493.0,493.0,0,0,0,0
0,-5.0,0.0,0.2,499.0,499.0,0,0,0,0
0,-5.0,0.0,0.2,501.0,501.0,0,0,0,0
0,-5.0,0.0,0.2,500.0,500.0,0,0,0,0
0,-5.0,0.0,0.2,484.0,484.0,0,0,0,0
0,-5.0,0.0,0.3,511.0,511.0,0,0,0,0
0,-5.0,0.0,0.3,999.5,999.5,0,0,0,0
