MCS,Adhesion Energy,Migration Coefficient,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters
300,-5.0,0.0,0.0,2197.0,2197.0,0,0,0,0
300,-5.0,0.0,0.0,2690.0,2690.0,0,0,0,0
300,-5.0,0.0,0.0,2238.0,2238.0,0,0,0,0
300,-5.0,0.0,0.0,2227.0,2227.0,0,0,0,0
300,-5.0,0.0,0.0,1790.0,1790.0,0,0,0,0
300,-5.0,0.0,0.0,2126.5,2126.5,0,0,0,0
300,-5.0,0.0,0.0,1728.0,1728.0,0,0,0,0
300,-5.0,0.0,0.0,2704.5,2704.5,0,0,0,0
300,-5.0,0.0,0.0,1648.0,1648.0,0,0,0,0
300,-5.0,0.0,0.0,2613.0,2613.0,0,0,0,0
300,-5.0,0.0,0.1,2158.0,2158.0,0,0,0,0
300,-5.0,0.0,0.1,1745.0,1745.0,0,0,0,0
300,-5.0,0.0,0.1,2841.0,2841.0,0,0,0,0
300,-5.0,0.0,0.1,2348.0,2348.0,0,0,0,0
300,-5.0,0.0,0.1,1710.0,1710.0,0,0,0,0
300,-5.0,0.0,0.1,2147.5,2147.5,0,0,0,0
300,-5.0,0.0,0.1,1647.5,1647.5,0,0,0,0
300,-5.0,0.0,0.1,2291.0,2291.0,0,0,0,0
300,-5.0,0.0,0.1,2125.5,2125.5,0,0,0,0
300,-5.0,0.0,0.1,2220.0,2220.0,0,0,0,0
300,-5.0,0.0,0.2,2243.0,2243.0,0,0,0,0
300,-5.0,0.0,0.2,2206.5,2206.5,0,0,0,0
300,-5.0,0.0,0.2,2643.0,2643.0,0,0,0,0
300,-5.0,0.0,0.2,1699.0,1699.0,0,0,0,0
300,-5.0,0.0,0.2,1667.5,1667.5,0,0,0,0
300,-5.0,0.0,0.2,1402.0,1402.0,0,0,0,0
300,-5.0,0.0,0.2,2038.5,2038.5,0,0,0,0
300,-5.0,0.0,0.2,2711.0,2711.0,0,0,0,0
300,-5.0,0.0,0.2,2185.0,2185.0,0,0,0,0
300,-5.0,0.0,0.2,2779.0,2779.0,0,0,0,0
300,-5.0,0.0,0.3,2673.0,2673.0,0,0,0,0
300,-5.0,0.0,0.3,2123.5,2123.5,0,0,0,0
300,-5.0,0.0,0.3,1555.0,1555.0,0,0,0,0
300,-5.0,0.0,0.3,1726.0,1726.0,0,0,0,0
300,-5.0,0.0,0.3,2076.0,2076.0,0,0,0,0
300,-5.0,0.0,0.3,1775.0,1775.0,0,0,0,0
300,-5.0,0.0,0.3,2086.0,2086.0,0,0,0,0
300,-5.0,0.0,0.3,2401.5,2401.5,0,0,0,0
300,-5.0,0.0,0.3,2676.0,2676.0,0,0,0,0
300,-5.0,0.0,0.3,1436.0,1436.0,0,0,0,0
300,-5.0,0.0,0.4,2306.5,2306.5,0,0,0,0
300,-5.0,0.0,0.4,2059.5,2059.5,0,0,0,0
300,-5.0,0.0,0.4,1733.0,1733.0,0,0,0,0
300,-5.0,0.0,0.4,1809.0,1809.0,0,0,0,0
300,-5.0,0.0,0.4,2863.0,2863.0,0,1,0,0
300,-5.0,0.0,0.4,2129.0,2129.0,0,0,0,0
300,-5.0,0.0,0.4,2156.0,2156.0,0,0,0,0
300,-5.0,0.0,0.4,2635.5,2635.5,0,0,0,0
300,-5.0,0.0,0.4,1739.0,1739.0,0,0,0,0
300,-5.0,0.0,0.4,2237.0,2237.0,0,0,0,0
300,-5.0,0.0,0.5,1638.5,1638.5,0,0,0,0
300,-5.0,0.0,0.5,1664.0,1664.0,0,0,0,0
300,-5.0,0.0,0.5,2262.5,2262.5,0,0,0,0
300,-5.0,0.0,0.5,2256.0,2256.0,0,1,0,0
300,-5.0,0.0,0.5,1680.0,1680.0,0,0,0,0
300,-5.0,0.0,0.5,2571.0,2571.0,0,0,0,0
300,-5.0,0.0,0.5,2087.0,2087.0,0,0,0,0
300,-5.0,0.0,0.5,1769.5,1769.5,0,0,0,0
300,-5.0,0.0,0.5,2080.0,2080.0,0,0,0,0
300,-5.0,0.0,0.5,2795.5,2795.5,0,0,0,0
300,-5.0,0.0,0.6,2072.5,2072.5,0,0,0,0
300,-5.0,0.0,0.6,2723.0,2723.0,0,0,0,0
300,-5.0,0.0,0.6,2745.5,2745.5,0,0,0,0
300,-5.0,0.0,0.6,2116.0,2116.0,0,0,0,0
300,-5.0,0.0,0.6,1895.5,1895.5,0,0,0,0
300,-5.0,0.0,0.6,2245.5,2245.5,0,0,0,0
300,-5.0,0.0,0.6,1708.0,1708.0,0,0,0,0
300,-5.0,0.0,0.6,1858.0,1858.0,0,0,0,0
300,-5.0,0.0,0.6,2243.0,2243.0,0,0,0,0
300,-5.0,0.0,0.6,1725.0,1725.0,0,0,0,0
300,-5.0,0.0,0.7,2648.0,2648.0,0,0,0,0
300,-5.0,0.0,0.7,2235.5,2235.5,0,0,0,0
300,-5.0,0.0,0.7,1703.5,1703.5,0,0,0,0
300,-5.0,0.0,0.7,1752.0,1752.0,0,0,0,0
300,-5.0,0.0,0.7,2507.0,2507.0,0,0,0,0
300,-5.0,0.0,0.7,2340.5,2340.5,0,0,0,0
