Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters,MCS
-5.0,0.0,0.0,1705.5,1705.5,0,0,0,0,300
-5.0,0.0,0.0,2375.0,2375.0,0,0,0,0,300
-5.0,0.0,0.0,2568.0,2568.0,0,0,0,0,300
-5.0,0.0,0.0,2679.0,2679.0,0,0,0,0,300
-5.0,0.0,0.0,2296.5,2296.5,0,0,0,0,300
-5.0,0.0,0.0,2252.0,2252.0,0,0,0,0,300
-5.0,0.0,0.0,1802.0,1802.0,0,0,0,0,300
-5.0,0.0,0.0,2582.0,2582.0,0,0,0,0,300
-5.0,0.0,0.0,2183.5,2183.5,0,0,0,0,300
-5.0,0.0,0.0,1819.0,1819.0,0,0,0,0,300
-5.0,0.0,0.0,2634.5,2634.5,0,0,0,0,300
-5.0,0.0,0.0,1627.0,1627.0,0,0,0,0,300
-5.0,0.0,0.1,1799.0,1799.0,0,0,0,0,300
-5.0,0.0,0.1,2360.0,2360.0,0,0,0,0,300
-5.0,0.0,0.1,2101.0,2101.0,0,0,0,0,300
-5.0,0.0,0.1,2290.5,2290.5,0,0,0,0,300
-5.0,0.0,0.1,2195.0,2195.0,0,0,0,0,300
-5.0,0.0,0.1,1793.5,1793.5,0,0,0,0,300
-5.0,0.0,0.1,2681.5,2681.5,0,0,0,0,300
-5.0,0.0,0.1,2154.0,2154.0,0,0,0,0,300
-5.0,0.0,0.1,3117.0,3117.0,0,0,0,0,300
-5.0,0.0,0.1,1786.5,1786.5,0,0,0,0,300
-5.0,0.0,0.1,1865.5,1865.5,0,0,0,0,300
-5.0,0.0,0.1,2210.0,2210.0,0,0,0,0,300
-5.0,0.0,0.2,1693.5,1693.5,0,0,0,0,300
-5.0,0.0,0.2,2764.0,2764.0,0,0,0,0,300
-5.0,0.0,0.2,2851.5,2851.5,0,0,0,0,300
-5.0,0.0,0.2,2057.0,2057.0,0,0,0,0,300
-5.0,0.0,0.2,2323.0,2323.0,0,0,0,0,300
-5.0,0.0,0.2,1587.0,1587.0,0,0,0,0,300
-5.0,0.0,0.2,2206.0,2206.0,0,0,0,0,300
-5.0,0.0,0.2,1730.5,1730.5,0,0,0,0,300
-5.0,0.0,0.2,2681.0,2681.0,0,0,0,0,300
-5.0,0.0,0.2,1855.5,1855.5,0,0,0,0,300
-5.0,0.0,0.2,1291.0,1291.0,0,0,0,0,300
-5.0,0.0,0.2,2242.0,2242.0,0,0,0,0,300
-5.0,0.0,0.3,2925.0,2925.0,0,0,0,0,300
-5.0,0.0,0.3,1293.0,1293.0,0,0,0,0,300
-5.0,0.0,0.3,3136.0,3136.0,0,0,0,0,300
-5.0,0.0,0.3,2528.5,2528.5,0,0,0,0,300
-5.0,0.0,0.3,1522.0,1522.0,0,0,0,0,300
-5.0,0.0,0.3,1834.5,1834.5,0,0,0,0,300
-5.0,0.0,0.3,2635.0,2635.0,0,0,0,0,300
-5.0,0.0,0.3,1585.0,1585.0,0,0,0,0,300
-5.0,0.0,0.3,1724.0,1724.0,0,0,0,0,300
-5.0,0.0,0.3,2113.0,2113.0,0,0,0,0,300
-5.0,0.0,0.3,2533.5,2533.5,0,0,0,0,300
-5.0,0.0,0.3,2022.0,2022.0,0,0,0,0,300
-5.0,0.0,0.4,2291.0,2291.0,0,0,0,0,300
-5.0,0.0,0.4,1851.5,1851.5,0,0,0,0,300
-5.0,0.0,0.4,2699.0,2699.0,0,0,0,0,300
-5.0,0.0,0.4,1724.0,1724.0,0,0,0,0,300
-5.0,0.0,0.4,2140.0,2140.0,0,0,0,0,300
-5.0,0.0,0.4,1666.0,1666.0,0,0,0,0,300
-5.0,0.0,0.4,2202.0,2202.0,0,0,0,0,300
-5.0,0.0,0.4,2157.0,2157.0,0,0,0,0,300
-5.0,0.0,0.4,2736.0,2736.0,0,0,0,0,300
-5.0,0.0,0.4,1714.5,1714.5,0,0,0,0,300
-5.0,0.0,0.4,2164.0,2164.0,0,0,0,0,300
-5.0,0.0,0.4,2040.0,2040.0,0,0,0,0,300
-5.0,0.0,0.5,2049.5,2049.5,0,0,0,0,300
-5.0,0.0,0.5,1746.5,1746.5,0,0,0,0,300
-5.0,0.0,0.5,2147.0,2147.0,0,0,0,0,300
-5.0,0.0,0.5,2242.5,2242.5,0,0,0,0,300
-5.0,0.0,0.5,1667.5,1667.5,0,0,0,0,300
-5.0,0.0,0.5,1684.0,1684.0,0,0,0,0,300
-5.0,0.0,0.5,1962.0,1962.0,0,0,0,0,300
-5.0,0.0,0.5,2566.0,2566.0,0,0,0,0,300
-5.0,0.0,0.5,1633.0,1633.0,0,0,0,0,300
-5.0,0.0,0.5,2240.0,2240.0,0,0,0,0,300
-5.0,0.0,0.5,2973.0,2973.0,0,0,0,0,300
-5.0,0.0,0.5,2241.0,2241.0,0,0,0,0,300
-5.0,0.0,0.6,2181.5,2181.5,0,0,0,0,300
-5.0,0.0,0.6,2275.0,2275.0,0,0,0,0,300
-5.0,0.0,0.6,2637.0,2637.0,0,0,0,0,300
-5.0,0.0,0.6,2751.5,2751.5,0,0,0,0,300
-5.0,0.0,0.6,1770.5,1770.5,0,0,0,0,300
-5.0,0.0,0.6,2183.0,2183.0,0,0,0,0,300
-5.0,0.0,0.6,1720.5,1720.5,0,0,0,0,300
-5.0,0.0,0.6,2145.0,2145.0,0,0,0,0,300
-5.0,0.0,0.6,1656.0,1656.0,0,0,0,0,300
-5.0,0.0,0.6,1535.0,1535.0,0,0,0,0,300
-5.0,0.0,0.6,1351.0,1351.0,0,0,0,0,300
-5.0,0.0,0.6,2574.0,2574.0,0,0,0,0,300
-5.0,0.0,0.7,2148.0,2148.0,0,1,0,0,300
-5.0,0.0,0.7,2624.0,2624.0,0,0,0,0,300
-5.0,0.0,0.7,2193.0,2193.0,0,0,0,0,300
-5.0,0.0,0.7,2655.5,2655.5,0,0,0,0,300
-5.0,0.0,0.7,1722.5,1722.5,0,0,0,0,300
-5.0,0.0,0.7,1174.5,1174.5,0,0,0,0,300
-5.0,0.0,0.7,2248.0,2248.0,0,0,0,0,300
-5.0,0.0,0.7,2702.5,2702.5,0,0,0,0,300
-5.0,0.0,0.7,1729.0,1729.0,0,0,0,0,300
-5.0,0.0,0.7,2289.0,2289.0,0,0,0,0,300
-5.0,0.0,0.7,2668.0,2668.0,0,0,0,0,300
-5.0,0.0,0.7,2296.0,2296.0,0,0,0,0,300
-5.0,0.0,0.8,2321.0,2321.0,0,0,0,0,300
-5.0,0.0,0.8,2265.0,2265.0,0,0,0,0,300
-5.0,0.0,0.8,1787.5,1787.5,0,0,0,0,300
-5.0,0.0,0.8,2215.0,2215.0,0,0,0,0,300
-5.0,0.0,0.8,2198.5,2198.5,0,0,0,0,300
-5.0,0.0,0.8,2262.0,2262.0,0,0,0,0,300
-5.0,0.0,0.8,2257.0,2257.0,0,0,0,0,300
-5.0,0.0,0.8,2816.0,2816.0,0,0,0,0,300
-5.0,0.0,0.8,2366.5,2366.5,0,0,0,0,300
-5.0,0.0,0.8,2415.5,2415.5,0,0,0,0,300
-5.0,0.0,0.8,1768.5,1768.5,0,0,0,0,300
-5.0,0.0,0.8,2257.5,2257.5,0,0,0,0,300
-5.0,0.0,0.9,2136.0,2136.0,0,0,0,0,300
-5.0,0.0,0.9,2298.0,2298.0,0,0,0,0,300
-5.0,0.0,0.9,1763.0,1763.0,0,0,0,0,300
-5.0,0.0,0.9,2122.0,2122.0,0,0,0,0,300
-5.0,0.0,0.9,2294.5,2294.5,0,0,0,0,300
-5.0,0.0,0.9,2655.0,2655.0,0,0,0,0,300
-5.0,0.0,0.9,2118.0,2118.0,0,0,0,0,300
-5.0,0.0,0.9,2354.0,2354.0,0,0,0,0,300
-5.0,0.0,0.9,2191.0,2191.0,0,0,0,0,300
-5.0,0.0,0.9,2778.0,2778.0,0,0,0,0,300
-5.0,0.0,0.9,1707.0,1707.0,0,0,0,0,300
-5.0,0.0,0.9,1897.0,1897.0,0,0,0,0,300
-5.0,0.0,1.0,2281.0,2281.0,0,0,0,0,300
-5.0,0.0,1.0,1976.0,1976.0,0,0,0,0,300
-5.0,0.0,1.0,1639.5,1639.5,0,0,0,0,300
-5.0,0.0,1.0,3151.0,3151.0,0,0,0,0,300
-5.0,0.0,1.0,1705.5,1705.5,0,0,0,0,300
-5.0,0.0,1.0,2414.0,2414.0,0,0,0,0,300
-5.0,0.0,1.0,2327.5,2327.5,0,1,0,0,300
-5.0,0.0,1.0,2195.0,2195.0,0,0,0,0,300
-5.0,0.0,1.0,2259.0,2259.0,0,0,0,0,300
-5.0,0.0,1.0,1814.0,1814.0,0,0,0,0,300
-5.0,0.0,1.0,2776.0,2776.0,0,0,0,0,300
-5.0,0.0,1.0,2125.0,2125.0,0,0,0,0,300
-5.0,3.0,0.0,1515.0,1515.0,0,0,0,0,300
-5.0,3.0,0.0,2558.0,2558.0,0,0,0,0,300
-5.0,3.0,0.0,2089.0,2089.0,0,0,0,0,300
-5.0,3.0,0.0,1548.5,1548.5,0,0,0,0,300
-5.0,3.0,0.0,1703.0,1703.0,0,0,0,0,300
-5.0,3.0,0.0,2184.0,2184.0,0,0,0,0,300
-5.0,3.0,0.0,2221.5,2221.5,0,0,0,0,300
-5.0,3.0,0.0,2051.0,2051.0,0,0,0,0,300
-5.0,3.0,0.0,1984.0,1984.0,0,0,0,0,300
-5.0,3.0,0.0,2524.5,2524.5,0,0,0,0,300
-5.0,3.0,0.0,2027.0,2027.0,0,0,0,0,300
-5.0,3.0,0.0,1610.0,1610.0,0,0,0,0,300
-5.0,3.0,0.1,1896.5,1896.5,0,0,0,0,300
-5.0,3.0,0.1,2181.5,2181.5,0,0,0,0,300
-5.0,3.0,0.1,2042.0,2042.0,0,0,0,0,300
-5.0,3.0,0.1,2081.0,2081.0,0,0,0,0,300
