Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters,MCS
-5.0,0.0,0.6,2142.0,2142.0,0,0,0,0,500
-5.0,0.0,0.6,3434.0,3434.0,0,0,0,0,500
-5.0,0.0,0.7,2079.0,2079.0,0,0,0,0,500
-5.0,0.0,0.7,1844.0,1844.0,0,0,0,0,500
-5.0,0.0,0.7,2552.5,2552.5,0,0,0,0,500
-5.0,0.0,0.7,2839.5,2839.5,0,0,0,0,500
-5.0,0.0,0.7,2210.0,2210.0,0,0,0,0,500
-5.0,0.0,0.7,2345.0,2345.0,0,0,0,0,500
-5.0,0.0,0.7,2023.0,2023.0,0,0,0,0,500
-5.0,0.0,0.7,2003.0,2003.0,0,0,0,0,500
-5.0,0.0,0.7,1973.0,1973.0,0,0,0,0,500
-5.0,0.0,0.7,2674.0,2674.0,0,0,0,0,500
-5.0,0.0,0.7,2509.0,2509.0,0,0,0,0,500
-5.0,0.0,0.7,3124.0,3124.0,0,0,0,0,500
-5.0,0.0,0.8,2257.0,2257.0,0,0,0,0,500
-5.0,0.0,0.8,2066.0,2066.0,0,0,0,0,500
-5.0,0.0,0.8,2134.0,2134.0,0,0,0,0,500
-5.0,0.0,0.8,2553.0,2553.0,0,0,0,0,500
-5.0,0.0,0.8,2021.5,2021.5,0,0,0,0,500
-5.0,0.0,0.8,2541.5,2541.5,0,0,0,0,500
-5.0,0.0,0.8,2543.0,2543.0,0,0,0,0,500
-5.0,0.0,0.8,2600.0,2600.0,0,0,0,0,500
-5.0,0.0,0.8,2027.5,2027.5,0,0,0,0,500
-5.0,0.0,0.8,3242.5,3242.5,0,1,0,0,500
-5.0,0.0,0.8,2537.0,2537.0,0,0,0,0,500
-5.0,0.0,0.8,1520.0,1520.0,0,0,0,0,500
-5.0,0.0,0.9,1433.5,1433.5,0,0,0,0,500
-5.0,0.0,0.9,2640.0,2640.0,0,0,0,0,500
-5.0,0.0,0.9,3576.0,3576.0,0,0,0,0,500
-5.0,0.0,0.9,1837.5,1837.5,0,0,0,0,500
-5.0,0.0,0.9,2571.0,2571.0,0,0,0,0,500
-5.0,0.0,0.9,3067.5,3067.5,0,0,0,0,500
-5.0,0.0,0.9,2481.0,2481.0,0,0,0,0,500
-5.0,0.0,0.9,3585.0,3585.0,0,0,0,0,500
-5.0,0.0,0.9,3626.0,3626.0,0,0,0,0,500
-5.0,0.0,0.9,2208.0,2208.0,0,0,0,0,500
-5.0,0.0,0.9,2594.0,2594.0,0,0,0,0,500
-5.0,0.0,0.9,2634.0,2634.0,0,0,0,0,500
-5.0,0.0,1.0,2111.5,2111.5,0,0,0,0,500
-5.0,0.0,1.0,2332.5,2332.5,0,0,0,0,500
-5.0,0.0,1.0,1974.0,1974.0,0,0,0,0,500
-5.0,0.0,1.0,2360.5,2360.5,0,0,0,0,500
-5.0,0.0,1.0,3945.0,3945.0,0,0,0,0,500
-5.0,0.0,1.0,2658.0,2658.0,0,0,0,0,500
-5.0,0.0,1.0,2237.5,2237.5,0,0,0,0,500
-5.0,0.0,1.0,2331.0,2331.0,0,0,0,0,500
-5.0,0.0,1.0,2651.5,2651.5,0,0,0,0,500
-5.0,0.0,1.0,2456.0,2456.0,0,1,0,0,500
-5.0,0.0,1.0,2529.0,2529.0,0,0,0,0,500
-5.0,0.0,1.0,3287.0,3287.0,0,0,0,0,500
-5.0,3.0,0.0,2957.0,2957.0,0,0,0,0,500
-5.0,3.0,0.0,2473.0,2473.0,0,0,0,0,500
-5.0,3.0,0.0,3100.0,3100.0,0,0,0,0,500
-5.0,3.0,0.0,1871.0,1871.0,0,0,0,0,500
-5.0,3.0,0.0,2524.0,2524.0,0,0,0,0,500
-5.0,3.0,0.0,2018.0,2018.0,0,0,0,0,500
-5.0,3.0,0.0,2092.5,2092.5,0,0,0,0,500
-5.0,3.0,0.0,2511.0,2511.0,0,0,0,0,500
-5.0,3.0,0.0,1863.5,1863.5,0,0,0,0,500
-5.0,3.0,0.0,2016.0,2016.0,0,0,0,0,500
-5.0,3.0,0.0,2073.0,2073.0,0,0,0,0,500
-5.0,3.0,0.0,2027.0,2027.0,0,0,0,0,500
-5.0,3.0,0.1,2204.5,2204.5,0,1,0,0,500
-5.0,3.0,0.1,2475.0,2475.0,0,0,0,0,500
-5.0,3.0,0.1,2324.0,2324.0,0,0,0,0,500
-5.0,3.0,0.1,2036.5,2036.5,0,0,0,0,500
-5.0,3.0,0.1,2838.0,2838.0,0,0,0,0,500
-5.0,3.0,0.1,2732.0,2732.0,0,1,0,0,500
-5.0,3.0,0.1,2798.0,2798.0,0,1,0,0,500
-5.0,3.0,0.1,3937.0,3937.0,0,0,0,0,500
-5.0,3.0,0.1,1894.0,1894.0,0,0,0,0,500
-5.0,3.0,0.1,3485.0,3485.0,0,0,0,0,500
-5.0,3.0,0.1,1920.0,1920.0,0,0,0,0,500
-5.0,3.0,0.1,1605.0,1605.0,0,0,0,0,500
-5.0,3.0,0.2,2426.0,2426.0,0,0,0,0,500
-5.0,3.0,0.2,2761.0,2761.0,0,0,0,0,500
-5.0,3.0,0.2,2382.5,2382.5,0,0,0,0,500
-5.0,3.0,0.2,2008.5,2008.5,0,0,0,0,500
-5.0,3.0,0.2,1949.0,1949.0,0,0,0,0,500
-5.0,3.0,0.2,2086.0,2086.0,0,0,0,0,500
-5.0,3.0,0.2,3036.0,3036.0,0,0,0,0,500
-5.0,3.0,0.2,1888.0,1888.0,0,0,0,0,500
-5.0,3.0,0.2,2957.0,2957.0,0,0,0,0,500
-5.0,3.0,0.2,2543.0,2543.0,0,0,0,0,500
-5.0,3.0,0.2,1631.0,1631.0,0,0,0,0,500
-5.0,3.0,0.2,2473.5,2473.5,0,0,0,0,500
-5.0,3.0,0.3,4163.0,4163.0,0,0,0,0,500
-5.0,3.0,0.3,1815.5,1815.5,0,0,0,0,500
-5.0,3.0,0.3,2859.5,2859.5,0,0,0,0,500
-5.0,3.0,0.3,3044.0,3044.0,0,0,0,0,500
-5.0,3.0,0.3,1115.0,1115.0,0,0,0,0,500
-5.0,3.0,0.3,1926.0,1926.0,0,0,0,0,500
-5.0,3.0,0.3,2012.0,2012.0,0,0,0,0,500
-5.0,3.0,0.3,2996.0,2996.0,0,0,0,0,500
-5.0,3.0,0.3,2237.0,2237.0,0,0,0,0,500
-5.0,3.0,0.3,1596.0,1596.0,0,0,0,0,500
-5.0,3.0,0.3,1994.0,1994.0,0,0,0,0,500
-5.0,3.0,0.3,2544.0,2544.0,0,0,0,0,500
-5.0,3.0,0.4,1868.0,1868.0,0,0,0,0,500
-5.0,3.0,0.4,2372.0,2372.0,0,0,0,0,500
-5.0,3.0,0.4,1963.0,1963.0,0,0,0,0,500
-5.0,3.0,0.4,2530.0,2530.0,0,0,0,0,500
-5.0,3.0,0.4,1913.5,1913.5,0,0,0,0,500
-5.0,3.0,0.4,2532.5,2532.5,0,0,0,0,500
-5.0,3.0,0.4,2517.0,2517.0,0,0,0,0,500
-5.0,3.0,0.4,2397.0,2397.0,0,0,0,0,500
-5.0,3.0,0.4,3197.0,3197.0,0,0,0,0,500
-5.0,3.0,0.4,2975.0,2975.0,0,0,0,0,500
-5.0,3.0,0.4,2083.0,2083.0,0,0,0,0,500
-5.0,3.0,0.4,2057.0,2057.0,0,0,0,0,500
-5.0,3.0,0.5,2033.0,2033.0,0,0,0,0,500
-5.0,3.0,0.5,1834.0,1834.0,0,0,0,0,500
-5.0,3.0,0.5,2964.0,2964.0,0,0,0,0,500
-5.0,3.0,0.5,2539.0,2539.0,0,0,0,0,500
-5.0,3.0,0.5,2734.0,2734.0,0,0,0,0,500
-5.0,3.0,0.5,3210.0,3210.0,0,0,0,0,500
-5.0,3.0,0.5,2382.0,2382.0,0,0,0,0,500
-5.0,3.0,0.5,2412.0,2412.0,0,0,0,0,500
-5.0,3.0,0.5,2422.0,2422.0,0,0,0,0,500
-5.0,3.0,0.5,3379.0,3379.0,0,0,0,0,500
-5.0,3.0,0.5,2108.0,2108.0,0,0,0,0,500
-5.0,3.0,0.5,2753.5,2753.5,0,0,0,0,500
-5.0,3.0,0.6,2946.5,2946.5,0,0,0,0,500
-5.0,3.0,0.6,1876.5,1876.5,0,0,0,0,500
