Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters,MCS
-5.0,0.0,0.0,4053.5,4053.5,0,0,0,0,600
-5.0,0.0,0.0,2572.5,2572.5,0,1,0,0,600
-5.0,0.0,0.0,2462.0,2462.0,0,0,0,0,600
-5.0,0.0,0.0,2123.0,2123.0,0,0,0,0,600
-5.0,0.0,0.0,2802.0,2802.0,0,0,0,0,600
-5.0,0.0,0.0,3041.0,3041.0,0,0,0,0,600
-5.0,0.0,0.0,2215.0,2215.0,0,0,0,0,600
-5.0,0.0,0.0,3052.0,3052.0,0,0,0,0,600
-5.0,0.0,0.0,1983.5,1983.5,0,1,0,0,600
-5.0,0.0,0.0,2159.0,2159.0,0,0,0,0,600
-5.0,0.0,0.0,2905.0,2905.0,0,0,0,0,600
-5.0,0.0,0.0,2551.0,2551.0,0,0,0,0,600
-5.0,0.0,0.1,3194.5,3194.5,0,0,0,0,600
-5.0,0.0,0.1,3170.0,3170.0,0,0,0,0,600
-5.0,0.0,0.1,1930.0,1930.0,0,0,0,0,600
-5.0,0.0,0.1,2080.5,2080.5,0,0,0,0,600
-5.0,0.0,0.1,3118.0,3118.0,0,1,0,0,600
-5.0,0.0,0.1,2178.0,2178.0,0,0,0,0,600
-5.0,0.0,0.1,2417.0,2417.0,0,0,0,0,600
-5.0,0.0,0.1,1812.0,1812.0,0,0,0,0,600
-5.0,0.0,0.1,3000.0,3000.0,0,0,0,0,600
-5.0,0.0,0.1,1649.0,1649.0,0,0,0,0,600
-5.0,0.0,0.1,2742.5,2742.5,0,0,0,0,600
-5.0,0.0,0.1,2034.5,2034.5,0,0,0,0,600
-5.0,0.0,0.2,4176.0,4176.0,0,0,0,0,600
-5.0,0.0,0.2,2249.0,2249.0,0,0,0,0,600
-5.0,0.0,0.2,2584.0,2584.0,0,0,0,0,600
-5.0,0.0,0.2,1971.0,1971.0,0,0,0,0,600
-5.0,0.0,0.2,2587.5,2587.5,0,0,0,0,600
-5.0,0.0,0.2,2486.0,2486.0,0,0,0,0,600
