MCS,Leader Cells,Follower Cells,Total
0,7690,23102,30792
100,2214,6984,9198
200,2214,6983,9197
300,2214,6983,9197
400,2214,6983,9197
500,2214,6983,9197
600,2214,6983,9197
700,2214,6983,9197
