Proliferative Probability_norm,n,mean,std,sem
0.0,1210,1.1578512396694214,2.519543201279272,0.07243177435667786
0.1,1209,1.2092638544251448,2.705166788756674,0.07780023280264432
0.2,1210,1.165289256198347,2.6635023847337704,0.0765703099004437
0.3,1210,1.1355371900826445,2.538662481842229,0.07298141502761177
0.4,1209,1.1885856079404467,2.6477846671386276,0.07614993070698481
0.5,1209,1.1488833746898264,2.5925263498433933,0.07456070893784297
0.6,1209,1.1472291149710505,2.508560379994624,0.07214585894453202
0.7,1210,1.1735537190082646,2.598204145172256,0.07469311749850095
0.8,1209,1.1464019851116625,2.445614883718663,0.07033555494239005
0.9,1210,1.1454545454545455,2.466382743590813,0.07090351864983659
1.0,1210,1.177685950413223,2.5155919934420896,0.07231818511782145
