Contact Energy_norm,n,mean,std,sem
0.0,1210,2.2206611570247934,2.9571076941611616,0.08501086909052609
0.1,1209,3.588089330024814,4.1707024205468395,0.11994884035162645
0.2,1207,4.7531068765534386,4.861466062785247,0.13993089867497926
0.3,1210,5.731404958677686,5.215909572131877,0.1499468574310095
0.4,1209,6.395368072787428,5.280619794579702,0.15186991466407013
0.5,1210,7.104132231404959,5.167570774347778,0.1485572147005363
0.6,1210,7.473553719008264,4.916141583799954,0.14132913367886718
0.7,1210,7.484297520661157,4.536060975699364,0.13040258444196073
0.8,1210,7.164462809917356,4.029284027883677,0.11583377152590743
0.9,1210,6.264462809917355,3.4859248951384876,0.10021329473564762
1.0,1210,4.911570247933884,2.9246871431772727,0.08407884378046515
