Contact Energy_norm,n,mean,std,sem
0.0,1210,3388.8111570247934,1403.171545147332,40.338345732757766
0.1,1209,4424.78370554177,2465.6755325257627,70.91249650246361
0.2,1207,5981.348798674399,4259.291846019161,122.59810683343672
0.3,1210,7955.15867768595,6243.8310380956145,179.4975218694155
0.4,1209,9655.741935483871,7505.183892588911,215.84807875688992
0.5,1210,10735.249173553719,7672.026477873443,220.55525399272258
0.6,1210,10929.43305785124,7075.867292138943,203.4168824022464
0.7,1210,9933.612396694214,5693.708295879969,163.68260497796908
0.8,1210,8362.980578512397,4243.128311944407,121.98136245536148
0.9,1210,6625.3677685950415,3043.871643986404,87.50515727452911
1.0,1210,5101.347933884297,2118.698336489186,60.90829471014237
