Proliferative Probability_norm,n,mean,std,sem
0.0,1210,68.8305785123967,101.80975409367507,2.9268246450696807
0.1,1209,68.24317617866005,101.76317505132222,2.9266952199157936
0.2,1210,67.97438016528926,101.91944550086394,2.929978051310279
0.3,1210,68.04545454545455,102.5766815590617,2.9488722595311505
0.4,1209,67.67411083540115,102.627144530227,2.951542865862262
0.5,1209,67.81637717121588,102.99975581744671,2.9622591163393395
0.6,1209,67.74276261373035,103.24077736969082,2.969190863746923
0.7,1210,67.59173553719009,103.50953380030336,2.9756898759194828
0.8,1209,67.46898263027295,103.52227695941323,2.9772867540651387
0.9,1210,67.28347107438016,103.74506583151324,2.9824609457426563
1.0,1210,67.25537190082645,103.84667743980808,2.9853820740965156
