Contact Energy_norm,n,mean,std,sem
0.0,1210,0.0371900826446281,0.20198855555823617,0.005806762698649907
0.1,1209,0.2853598014888337,0.8823841070209388,0.025377248172980364
0.2,1207,1.2245236122618062,2.8169932839386447,0.08108344205062253
0.3,1210,4.530578512396694,8.528227280144698,0.24516929644400107
0.4,1209,13.628618693134822,21.161086869793376,0.608590010667542
0.5,1210,32.5404958677686,41.433020836463335,1.1911156016767181
0.6,1210,62.80909090909091,66.44732050267423,1.910226156396864
0.7,1210,103.22892561983471,91.64034777117698,2.6344747684259464
0.8,1210,146.82561983471075,111.75129025327358,3.212623715117449
0.9,1210,181.2305785123967,121.40746379516267,3.490219186701311
1.0,1210,199.3198347107438,120.81367789927245,3.473149042396796
