Contact Energy_norm,n,mean,std,sem
0.0,1210,0.02231404958677686,0.1585644884272778,0.0045584085404509825
0.1,1209,0.09015715467328371,0.3808026445416453,0.010951832811321524
0.2,1207,0.19138359569179786,0.6300848802984866,0.01813616353647243
0.3,1210,0.38099173553719007,0.9851514685458077,0.02832111346240436
0.4,1209,0.6335814722911497,1.463879844407231,0.04210098732667296
0.5,1210,1.1743801652892563,2.1842745340204366,0.06279347784188657
0.6,1210,2.074380165289256,3.4446234564791482,0.09902596185559996
0.7,1210,2.8859504132231404,4.152615960968774,0.11937931531482
0.8,1210,3.0661157024793386,4.020286722344659,0.1155751171776552
0.9,1210,1.753719008264463,2.3184462340115477,0.06665064301923843
1.0,1210,0.5190082644628099,0.8799122117263785,0.025295697545924326
