Jlf,mu,PP,ClusterUID,ClusterID_renum,Leader Cells,Follower Cells,Total Cells,Leader %,Dominance,Centroid_X,Centroid_Y,PersistenceTime,TimeRange,Centroid_Displacement,Velocity,MeanSize_over_time,StdSize_over_time,ClusterSizeCV_over_time,Phenotypic Index,Entropy
-5.0,30.0,0.9,7_1,3,1,1,2,50.0,Follower-dominated,302.9555555555563,69.71111111111111,24,470-700,6.711349481599723,0.2796395617333218,2.9166666666666665,0.28232985128663995,0.09679880615541941,0.0,1.0
-5.0,30.0,1.0,1_1,1,1,1,2,50.0,Follower-dominated,102.98611111111154,64.25,1,700-700,0.0,0.0,2.0,,,0.0,1.0
-5.0,30.0,1.0,6_1,2,1,1,2,50.0,Follower-dominated,337.2222222222214,63.27777777777778,13,580-700,3.992535552197398,0.3071181193997999,2.0,0.0,0.0,0.0,1.0
-5.0,30.0,1.0,8_1,3,1,1,2,50.0,Follower-dominated,297.6180555555561,61.24305555555556,20,510-700,4.031552508306346,0.2015776254153173,2.0,0.0,0.0,0.0,1.0
-4.0,24.0,0.8,3_1,1,1,1,2,50.0,Follower-dominated,495.52500000000066,64.83333333333334,1,700-700,0.0,0.0,2.0,,,0.0,1.0
-4.0,27.0,0.0,3_1,1,1,1,2,50.0,Follower-dominated,323.6497975708505,71.64574898785425,27,440-700,18.990614095398644,0.7033560776073572,2.0,0.0,0.0,0.0,1.0
-4.0,27.0,0.2,7_1,1,3,2,5,60.0,Leader-dominated,130.23666281087313,70.06012145748988,12,590-700,7.7464716614559785,0.6455393051213315,5.0,0.0,0.0,0.2,0.9709505944546686
-4.0,27.0,0.3,4_1,1,1,1,2,50.0,Follower-dominated,412.266666666667,77.45,16,550-700,12.864863238776875,0.8040539524235547,2.0,0.0,0.0,0.0,1.0
-4.0,27.0,0.3,9_1,2,1,1,2,50.0,Follower-dominated,320.7062499999995,60.25625,31,400-700,3.855261726213621,0.12436328149076196,2.0,0.0,0.0,0.0,1.0
-4.0,27.0,0.4,4_1,1,3,1,4,75.0,Leader-dominated,119.60563427800275,83.94127867746289,14,570-700,13.189070457559184,0.9420764612542275,4.0,0.0,0.0,0.5,0.8112781244591328
-4.0,27.0,0.4,4_2,2,3,1,4,75.0,Leader-dominated,157.08371212121293,80.70391414141415,6,650-700,6.807932397454159,1.1346553995756932,4.0,0.0,0.0,0.5,0.8112781244591328
-4.0,27.0,0.4,8_1,3,1,1,2,50.0,Follower-dominated,44.960317460317384,62.05555555555556,1,680-680,0.0,0.0,2.0,,,0.0,1.0
-4.0,27.0,0.7,0_1,1,1,1,2,50.0,Follower-dominated,37.86974789915909,65.28991596638656,21,500-700,6.207283456926175,0.295584926520294,2.0,0.0,0.0,0.0,1.0
-4.0,27.0,0.7,4_1,2,1,1,2,50.0,Follower-dominated,59.85119047619045,65.44642857142857,10,610-700,1.837476623108591,0.1837476623108591,2.2,0.4216370213557839,0.19165319152535631,0.0,1.0
-4.0,27.0,0.7,8_1,3,1,1,2,50.0,Follower-dominated,359.5085470085474,79.47863247863248,10,610-700,11.332290788830328,1.1332290788830328,2.0,0.0,0.0,0.0,1.0
-4.0,27.0,0.7,8_2,4,2,1,3,66.66666666666667,Leader-dominated,378.8137626262624,77.79103535353535,7,640-700,99.57360548717664,14.224800783882376,3.5714285714285716,0.5345224838248488,0.14966629547095767,0.3333333333333333,0.9182958340544896
-4.0,27.0,0.7,8_3,5,2,1,3,66.66666666666667,Leader-dominated,477.52253302253325,78.55944055944056,3,680-700,0.7400766586700919,0.2466922195566973,3.6666666666666665,0.5773502691896258,0.15745916432444343,0.3333333333333333,0.9182958340544896
-4.0,27.0,0.8,4_1,1,1,1,2,50.0,Follower-dominated,64.51470588235355,65.60294117647058,18,530-700,7.33450777661728,0.4074726542565156,2.0,0.0,0.0,0.0,1.0
-4.0,27.0,0.8,4_2,2,1,1,2,50.0,Follower-dominated,375.62499999999955,81.9375,17,540-700,22.57028590965096,1.3276638770382918,2.0,0.0,0.0,0.0,1.0
-4.0,27.0,0.9,2_1,1,1,1,2,50.0,Follower-dominated,106.51470588235298,64.60294117647058,15,560-700,4.404711695452607,0.29364744636350715,2.0,0.0,0.0,0.0,1.0
-4.0,27.0,0.9,5_1,2,1,1,2,50.0,Follower-dominated,231.15476190476215,64.99404761904762,9,620-700,7.544784474344798,0.8383093860383108,2.0,0.0,0.0,0.0,1.0
-4.0,27.0,0.9,6_1,3,1,1,2,50.0,Follower-dominated,320.1785714285713,58.976190476190474,1,530-530,0.0,0.0,2.0,,,0.0,1.0
-4.0,27.0,0.9,9_1,4,2,1,3,66.66666666666667,Leader-dominated,92.52474747474724,58.26717171717172,2,690-700,0.5019215248979985,0.25096076244899923,3.0,0.0,0.0,0.3333333333333333,0.9182958340544896
-4.0,27.0,1.0,2_1,1,1,1,2,50.0,Follower-dominated,435.57575757575773,73.23636363636363,12,590-700,12.905986186790502,1.0754988488992085,2.0,0.0,0.0,0.0,1.0
-4.0,27.0,1.0,9_1,2,1,1,2,50.0,Follower-dominated,314.1941176470589,68.60882352941177,10,610-700,7.132710765203449,0.7132710765203449,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.0,2_1,1,1,1,2,50.0,Follower-dominated,473.3461538461538,69.53846153846155,15,560-700,10.083859657959216,0.6722573105306144,2.0,0.0,0.0,0.0,1.0
-4.0,30.0,0.0,8_1,2,1,1,2,50.0,Follower-dominated,266.7461538461536,81.78717948717949,27,440-700,26.5587039753468,0.9836557027906222,2.0,0.0,0.0,0.0,1.0
